Price,location.latitude,location.longitude,distance_to_any_train,bedrooms_model,bathrooms_model,analyticsProperty.imageCount,analyticsProperty.added,floorplan_count,property_age
425000.0,51.51856,-0.26252,0.2,3.0,1.0,15,20220426,4.0,1.0
600000.0,51.51572,-0.16506,0.3,2.0,1.0,10,20211223,4.0,37.0
600000.0,51.58183,0.07677,0.5,3.0,1.0,22,20211125,4.0,37.0
450000.0,51.369063,-0.099138,0.8,2.0,2.0,18,20220423,4.0,38.0
450000.0,51.350805,-0.161578,0.6,2.0,1.0,18,20220604,4.0,37.0
310000.0,51.45726,-0.21706,0.3,,1.0,10,20220620,4.0,37.0
595000.0,51.55701,0.00986,0.5,5.0,,16,20220326,4.0,37.0
475000.0,51.387373,-0.093103,0.8,3.0,1.0,17,20220329,4.0,37.0
525000.0,51.340656,-0.119796,0.3,2.0,,4,20220325,1.0,10.0
499950.0,51.34566,-0.073928,0.9,3.0,1.0,20,20220120,4.0,37.0
575000.0,51.605888,-0.013999,0.6,3.0,1.0,16,20220324,4.0,37.0
535000.0,51.427361,-0.201699,0.5,2.0,1.0,9,20220217,4.0,
270000.0,51.436351,0.003681,0.9,1.0,1.0,8,20211112,4.0,38.0
425000.0,51.600991,0.212333,1.1,3.0,1.0,19,20220419,4.0,37.0
500000.0,51.59575,0.207487,1.0,3.0,2.0,16,20211225,4.0,1.0
425000.0,51.42857,0.05802,0.9,3.0,1.0,10,20211209,4.0,37.0
565000.0,51.48036,-0.128797,0.0,1.0,1.0,17,20220429,4.0,
250000.0,51.576252,0.118847,0.7,2.0,1.0,7,20220504,1.0,18.0
424950.0,51.425796,-0.292218,1.0,3.0,1.0,8,20200812,4.0,37.0
280000.0,51.46195,-0.00569,0.4,1.0,,10,20211015,4.0,27.0
500000.0,51.566063,-0.002079,0.3,3.0,1.0,15,20220214,4.0,37.0
375000.0,51.598899,0.019682,0.6,1.0,1.0,27,20220614,4.0,37.0
270000.0,51.428312,0.010896,0.5,3.0,1.0,10,20220627,4.0,38.0
400000.0,51.4998,-0.26511,0.2,2.0,1.0,9,20211129,4.0,37.0
550000.0,51.414331,-0.075348,0.3,2.0,1.0,11,20220201,4.0,37.0
400000.0,51.584711,-0.019445,0.1,2.0,2.0,19,20211227,4.0,37.0
570000.0,51.557366,-0.355454,0.2,3.0,1.0,16,20220624,4.0,37.0
290000.0,51.56941,-0.00547,0.1,1.0,1.0,16,20220607,4.0,37.0
375000.0,51.386379,-0.070822,0.1,2.0,1.0,17,20220225,4.0,37.0
285000.0,51.478675,-0.352344,0.2,1.0,1.0,5,20220624,4.0,37.0
450000.0,51.52361,0.02742,0.7,3.0,1.0,15,20220615,4.0,
,51.65747,-0.08792,0.3,2.0,1.0,9,20220215,1.0,37.0
240000.0,51.413589,-0.171723,0.4,1.0,,10,20220414,4.0,37.0
450000.0,51.44403,-0.10706,0.3,2.0,2.0,10,20220308,4.0,37.0
256000.0,51.425518,-0.143322,0.5,1.0,1.0,14,20220624,4.0,37.0
254950.0,51.38341,-0.26334,0.1,1.0,1.0,11,20220323,4.0,37.0
595000.0,51.526507,-0.204086,0.4,2.0,2.0,8,20220519,4.0,37.0
375000.0,51.374767,-0.085564,0.1,2.0,1.0,13,20210903,4.0,37.0
550000.0,51.437805,-0.111726,0.3,2.0,1.0,14,20220428,4.0,
420000.0,51.58864,0.08329,0.3,1.0,1.0,23,20220419,4.0,37.0
500000.0,51.603228,0.16051,2.2,3.0,2.0,16,20220623,4.0,37.0
550000.0,51.60889,0.018278,0.8,4.0,2.0,18,20211025,4.0,37.0
450000.0,51.596877,-0.401331,0.4,2.0,1.0,7,20220506,9.0,37.0
300000.0,51.46099,-0.0721,0.4,,1.0,9,20220406,4.0,
425000.0,51.406742,-0.178557,0.3,2.0,1.0,10,20220324,4.0,
599950.0,51.46373,-0.2826,0.2,3.0,1.0,7,20220121,4.0,
450000.0,51.58377,0.07888,0.4,3.0,1.0,26,20210813,4.0,37.0
325000.0,51.423851,-0.002073,0.6,2.0,2.0,19,20220328,4.0,
460000.0,51.37702,-0.085462,0.1,2.0,1.0,17,20211229,4.0,37.0
324950.0,51.49577,-0.06487,0.2,1.0,1.0,10,20220314,1.0,
555000.0,51.547432,-0.005967,0.2,2.0,2.0,14,20220608,4.0,
425000.0,51.47599,-0.05966,0.2,1.0,1.0,12,20220707,4.0,
225000.0,51.36951,-0.18269,0.7,1.0,1.0,13,20220225,4.0,37.0
400000.0,51.588576,-0.019046,0.4,2.0,1.0,14,20220222,4.0,37.0
400000.0,51.376645,-0.10535,0.1,3.0,1.0,15,20220621,4.0,37.0
450000.0,51.370457,-0.165422,0.1,3.0,1.0,20,20220624,8.0,37.0
375000.0,51.475991,-0.332938,0.2,1.0,1.0,11,20220315,4.0,5.0
569995.0,51.43074,0.01568,0.3,4.0,2.0,16,20220607,4.0,
442500.0,51.378814,-0.099696,0.1,2.0,2.0,11,20200804,4.0,6.0
350000.0,51.52371,-0.01496,0.2,1.0,1.0,18,20220621,4.0,12.0
515000.0,51.48683,-0.45673,1.1,3.0,2.0,15,20220615,4.0,37.0
525000.0,51.534496,-0.190894,0.1,1.0,1.0,21,20220322,5.0,37.0
550000.0,51.579998,0.104117,0.7,3.0,2.0,29,20220326,4.0,37.0
500000.0,51.49772,-0.09086,0.3,1.0,1.0,15,20220107,4.0,
450000.0,51.509188,-0.298626,0.4,1.0,1.0,14,20220614,4.0,37.0
