,Price,location.latitude,location.longitude,bedrooms,bathrooms,nearestStation,tenure.tenureType
14520525,550000.0,51.52995,-0.20702,3.0,1.0,0.2743155878654485,LEASEHOLD
27953107,400000.0,51.54939,-0.4826,2.0,2.0,0.3058453776759877,LEASEHOLD
33593487,579950.0,51.44718,-0.33877,2.0,1.0,0.43804471450121624,FREEHOLD
35271294,370000.0,51.449568,-0.140154,2.0,1.0,0.399306728131126,LEASEHOLD
35429088,599950.0,51.57703,-0.14123,2.0,1.0,0.23818650207501607,
44749111,475000.0,51.37005,-0.21241,2.0,1.0,0.41055043849542233,FREEHOLD
46204665,435000.0,51.53907,-0.198935,3.0,2.0,0.31477889385908875,LEASEHOLD
49020666,200000.0,51.539959,-0.380863,1.0,1.0,0.8759114728821834,LEASEHOLD
49036279,275000.0,51.54178,0.03789,2.0,1.0,0.4743683932216359,LEASEHOLD
49303873,450000.0,51.52488,0.1872,3.0,2.0,0.5770403839159927,FREEHOLD
50134461,275000.0,51.46768,-0.3681,,1.0,0.2521362141723491,LEASEHOLD
50135055,265000.0,51.46768,-0.3681,,1.0,0.2521362141723491,LEASEHOLD
50135445,270000.0,51.46768,-0.3681,,1.0,0.2521362141723491,LEASEHOLD
52064391,349950.0,51.4708,-0.36182,2.0,2.0,0.21273414533680693,LEASEHOLD
52187854,450000.0,51.527199,-0.202898,1.0,1.0,0.4468016182188007,LEASEHOLD
52675628,490000.0,51.501114,0.026315,2.0,2.0,0.21503987682004597,
52845963,200000.0,51.39804,-0.076812,2.0,1.0,0.6505623506093052,LEASEHOLD
52913496,220000.0,51.539383,-0.382239,1.0,1.0,0.9459907117581822,LEASEHOLD
53609433,489995.0,51.53262,-0.10786,1.0,1.0,0.08708110610863895,LEASEHOLD
53649578,284950.0,51.47989,-0.0785,1.0,1.0,0.8065970332039628,
53938989,450000.0,51.658287,-0.207902,2.0,1.0,0.7752030182357124,FREEHOLD
54485145,250000.0,51.463825,-0.014416,,1.0,0.10807029137438268,LEASEHOLD
54713232,332000.0,51.6123,-0.11986,2.0,1.0,0.3192257195725066,SHARE_OF_FREEHOLD
54904122,365000.0,51.593595,0.022046,2.0,1.0,0.26072226699444173,SHARE_OF_FREEHOLD
54991934,430000.0,51.52872,0.03918,3.0,1.0,0.4972683743143602,FREEHOLD
55043230,260000.0,51.54443,0.0145,1.0,1.0,0.3846067049390917,LEASEHOLD
55187658,430000.0,51.50757,0.07803,2.0,2.0,0.2890327421281478,LEASEHOLD
55531367,599950.0,51.46741,-0.07917,2.0,1.0,0.40672485978047285,
55768232,550000.0,51.47289,-0.07894,2.0,1.0,0.47834865752704925,
55805965,280000.0,51.52091,0.02268,2.0,1.0,0.7428587612015595,LEASEHOLD
55839051,599950.0,51.579186,-0.20902,2.0,1.0,0.25916821605905815,LEASEHOLD
55940994,385000.0,51.37693,-0.23887,2.0,2.0,0.40398667334547583,LEASEHOLD
