,Price,location.latitude,location.longitude,bedrooms,bathrooms,nearestStation,nearestTram,nearestUnderground,nearestOverground,tenure.tenureType,analyticsProperty.soldSTC,analyticsProperty.preOwned,sharedOwnership.sharedOwnership,analyticsProperty.propertyType,analyticsProperty.propertySubType,borough,analyticsProperty.priceQualifier,keyFeatures,sharedownership_in_description
121249973,429950,51.426908,-0.34163,1.0,2.0,0.42385130888500344,,,0.42385130888500344,SHARE_OF_FREEHOLD,False,Resale,False,Flats / Apartments,Flat,Richmond upon Thames,Offers in Excess of,[],False
120111587,400000,51.437912,0.162773,2.0,2.0,0.6689618920284283,,,0.6689618920284283,LEASEHOLD,False,Resale,False,Flats / Apartments,Apartment,Bexley,Guide Price,"['Unique two bedroom top floor apartment', 'Gated development in sought afterlocation', 'Large living room', 'Modern fitted kitchen', 'Two doublebedrooms', 'Ensuite shower room to master bedroom', 'Bathroom', 'Allocatedparking', 'Lovely communal grounds', 'Long lease']",False
115349060,575000,51.503025,-0.234946,2.0,1.0,0.36490557192314055,,0.36490557192314055,,LEASEHOLD,False,Resale,False,Flats / Apartments,Flat,Hammersmith and Fulham,None,"['Split level maisonette', ""902 Sq' - 83.83 SqM"", 'Two double bedrooms','Kitchen breakfast room', 'EPC rating E', 'Shepherd’s Bush']",False
103684907,300000,51.47655,-0.11047,2.0,1.0,0.38482038412348185,,0.38482038412348185,0.8094178014387726,LEASEHOLD,True,Resale,False,Flats / Apartments,Flat,Lambeth,Offers in Excess of,"['Two Double Bedrooms', 'Top Floor', 'No Onward Chain', 'Gated Development','Purpose Built']",False
119799995,600000,51.455862,-0.236096,3.0,,0.8168029427290874,,1.0985907408254176,0.8168029427290874,FREEHOLD,True,Resale,False,Houses,End of Terrace,Wandsworth,None,"['End of Terrace', 'Three Bedrooms', 'Two Reception Rooms', 'Family Bathroom','Private Rear Garden', 'No Onward Chain']",False
90322912,425000,51.42462,-0.2166,1.0,1.0,0.48647322721758435,0.48647322721758435,0.48647322721758435,0.48647322721758435,LEASEHOLD,True,Resale,False,Flats / Apartments,Apartment,Merton,None,"['One Bedroom', 'Maisonette Over Two Floors', 'Village Location', 'Very GoodCondition', 'No Onward Chain', '592 sqft * EPC: C', 'Kitchen/Dining Room','Bathroom/WC', 'Large Reception Room', '8 Minutes Walk Of Wimbledon MainlineStation']",False
114841427,450000,51.523224,-0.439984,3.0,,1.6215903672042054,,2.1579927042198643,1.6215903672042054,FREEHOLD,False,Resale,False,Houses,Terraced,Hillingdon,None,"['3 Bedrooms Terraced House', 'Investment Opportunity', 'Well Presented', '2Reception Rooms', 'Modern Kitchen', 'Double Glazing / Gas Central Heating','Off Street Parking', 'EPC Rating D / Freehold']",False
120908273,440000,51.4703,0.04219,3.0,2.0,0.8616703152666014,,,0.8616703152666014,FREEHOLD,True,Resale,False,Houses,Terraced,Greenwich,None,"['Three Bedrooms', 'Two Bathrooms', 'Off Street Parking', 'Modern Kitchen','Spacious Accommodation', 'Good Transport Links', 'Double Glazed', 'GasCentrally Heated']",False
119760641,575000,51.521507,-0.009752,2.0,2.0,0.22882438307188874,,0.22882438307188874,0.37285775565019136,LEASEHOLD,False,Resale,False,Flats / Apartments,Apartment,Tower Hamlets,None,"['Completing Q2 / Q3 2022', '2 Bedrooms', '2 Bathrooms', '20th Floor', '896Square Feet (Approx.)', 'Balcony', 'City and River Views', 'Concierge','Perfect for FTB or Investor', 'Bromley-By-Bow Underground and Devons RoadDLR']",False
118823306,525000,51.492213,-0.194548,1.0,1.0,0.05321239402675527,,0.05321239402675527,0.34679776937907164,LEASEHOLD,False,Resale,False,Flats / Apartments,Flat,Kensington and Chelsea,None,"['One Bedroom', 'Modern And Spacious', 'Wooden Flooring', 'Second Floor','Built-in Storage', 'Earls Court Station']",False
83293626,500000,51.591166,0.067628,2.0,,0.9976631017998626,,0.9976631017998626,,FREEHOLD,False,Resale,False,Houses,Semi-Detached,Redbridge,Guide Price,[],False
85765941,525000,51.540519,-0.446128,3.0,1.0,0.9336276638886496,,0.9336276638886496,,FREEHOLD,False,Resale,False,Houses,House,Hillingdon,None,"['Three Bedroom', 'Terraced', 'Large Garden to Rear', 'Off Street Parking forTwo Cars', 'Close to Highly Regarded Schools', 'Oak Farm Location', 'ThroughLounge', 'Potential for Further Extension (Subject to Planning)', 'FantasticTransport Links by Rail & Road', 'Close to Local Amenities']",False
119495072,400000,51.506713,-0.386531,1.0,1.0,0.35427186936294724,,,0.35427186936294724,LEASEHOLD,False,Resale,True,Flats / Apartments,Apartment,Ealing,None,"['1st Floor Modern Apartment', 'Fully Integrated Kitchen with BoschAppliances', 'Balcony', 'Sliding Mirrored Wardrobe', 'Access to PrivateCourtyard', 'London Help to Buy* Available', 'Ready to Move Into', 'ExclusiveResident Facilities including Concierge, Swimming Pool, Gym, Screening Room,lounge & Co-Working Space', 'Excellent Transport Links; Walking Distance ofCrossrail Station, Heathrow Airport, M4 & M25 in Easy Reach']",False
117766031,450000,51.544,-0.174,1.0,1.0,0.05869497586878003,,0.05869497586878003,0.2826008741244914,SHARE_OF_FREEHOLD,True,Resale,False,Flats / Apartments,Flat,Camden,Fixed Price,"['Share of Freehold Term 999 years from 08/12/2020', 'One bedroom', 'Periodconversion', 'Can be modernized', 'Located 0.2 miiles to Swiss Cottage','Chain free']",False
110128289,425000,51.421223,-0.174012,2.0,1.0,0.2804871958307239,,0.2804871958307239,0.5988780781337104,LEASEHOLD,True,Resale,False,Flats / Apartments,Ground Maisonette,Merton,Offers in Excess of,"['Two Bedroom Maisonette', 'Chain Free', 'Large Private South-Facing Garden','Spacious Living Room And Master Bedroom', 'Modern Garden Studio/Outbuilding','Double Glazing And Central Heating', 'Short Walk To Tooting And Colliers WoodTubes', 'Close To Parks, Shops, Cafes And Restaurants']",False
