,Price,bedrooms,bathrooms,nearestStation,location.latitude,location.longitude,latitude_deviation,longitude_deviation,tenure.tenureType,feature__1 bedroom,feature__2 bedrooms,feature__2 double bedrooms,feature__allocated parking,feature__allocated parking space,feature__balcony,feature__bathroom,feature__chain free,feature__close to local amenities,feature__communal garden,feature__communal gardens,feature__double bedroom,feature__double glazed,feature__double glazing,feature__epc rating c,feature__epc rating d,feature__excellent location,feature__excellent transport links,feature__family bathroom,feature__first floor,feature__fitted kitchen,feature__garage,feature__garden,feature__gas central heating,feature__great location,feature__ground floor,feature__kitchen,feature__leasehold,feature__long lease,feature__modern bathroom,feature__modern kitchen,feature__no chain,feature__no onward chain,feature__off street parking,feature__one bedroom,feature__one double bedroom,feature__parking,feature__private balcony,feature__private garden,feature__private rear garden,feature__reception room,feature__separate kitchen,feature__share of freehold,feature__three bedrooms,feature__three double bedrooms,feature__top floor,feature__two bathrooms,feature__two bedrooms,feature__two double bedrooms,feature__two reception rooms
14520525,550000.0,3.0,1.0,0.2743155878654485,51.52995,-0.20702,0.030229999999995982,0.10260000000000001,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27953107,400000.0,2.0,2.0,0.3058453776759877,51.54939,-0.4826,0.04966999999999899,0.37817999999999996,LEASEHOLD,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33593487,579950.0,2.0,1.0,0.43804471450121624,51.44718,-0.33877,0.052540000000000475,0.23435,FREEHOLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35271294,370000.0,2.0,1.0,0.399306728131126,51.449568,-0.140154,0.05015200000000419,0.035734,LEASEHOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35429088,599950.0,2.0,1.0,0.23818650207501607,51.57703,-0.14123,0.0773099999999971,0.036809999999999996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44749111,475000.0,2.0,1.0,0.41055043849542233,51.37005,-0.21241,0.1296700000000044,0.10798999999999999,FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46204665,435000.0,3.0,2.0,0.31477889385908875,51.53907,-0.198935,0.039349999999998886,0.094515,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49020666,200000.0,1.0,1.0,0.8759114728821834,51.539959,-0.380863,0.04023899999999969,0.276443,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49036279,275000.0,2.0,1.0,0.4743683932216359,51.54178,0.03789,0.04205999999999932,0.14231,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49303873,450000.0,3.0,2.0,0.5770403839159927,51.52488,0.1872,0.025159999999999627,0.29162,FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52064391,349950.0,2.0,2.0,0.21273414533680693,51.4708,-0.36182,0.028920000000006496,0.25739999999999996,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
52187854,450000.0,1.0,1.0,0.4468016182188007,51.527199,-0.202898,0.027478999999999587,0.098478,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52675628,490000.0,2.0,2.0,0.21503987682004597,51.501114,0.026315,0.0013939999999976749,0.130735,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52845963,200000.0,2.0,1.0,0.6505623506093052,51.39804,-0.076812,0.10168000000000177,0.027607999999999994,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52913496,220000.0,1.0,1.0,0.9459907117581822,51.539383,-0.382239,0.03966299999999734,0.277819,LEASEHOLD,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53609433,489995.0,1.0,1.0,0.08708110610863895,51.53262,-0.10786,0.03289999999999793,0.0034399999999999986,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53649578,284950.0,1.0,1.0,0.8065970332039628,51.47989,-0.0785,0.01983000000000601,0.02592,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53938989,450000.0,2.0,1.0,0.7752030182357124,51.658287,-0.207902,0.1585669999999979,0.103482,FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54713232,332000.0,2.0,1.0,0.3192257195725066,51.6123,-0.11986,0.11257999999999413,0.015439999999999995,SHARE_OF_FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54904122,365000.0,2.0,1.0,0.26072226699444173,51.593595,0.022046,0.09387499999999704,0.126466,SHARE_OF_FREEHOLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54991934,430000.0,3.0,1.0,0.4972683743143602,51.52872,0.03918,0.028999999999996362,0.1436,FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55043230,260000.0,1.0,1.0,0.3846067049390917,51.54443,0.0145,0.04470999999999492,0.11892,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55187658,430000.0,2.0,2.0,0.2890327421281478,51.50757,0.07803,0.007849999999997692,0.18245,LEASEHOLD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
