id_copy,version,date_scraped,analyticsBranch.agentType,analyticsBranch.branchId,analyticsBranch.branchName,analyticsBranch.branchPostcode,analyticsBranch.brandName,analyticsBranch.companyName,analyticsBranch.companyTradingName,analyticsBranch.companyType,analyticsBranch.displayAddress,analyticsBranch.pageType,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.beds,analyticsProperty.businessForSale,analyticsProperty.country,analyticsProperty.currency,analyticsProperty.floorplanCount,analyticsProperty.furnishedType,analyticsProperty.hasOnlineViewing,analyticsProperty.imageCount,analyticsProperty.latitude,analyticsProperty.longitude,analyticsProperty.letAgreed,analyticsProperty.lettingType,analyticsProperty.maxSizeAc,analyticsProperty.maxSizeFt,analyticsProperty.minSizeAc,analyticsProperty.minSizeFt,analyticsProperty.ownership,analyticsProperty.postcode,analyticsProperty.preOwned,analyticsProperty.price,analyticsProperty.priceQualifier,analyticsProperty.propertyId,analyticsProperty.propertySubType,analyticsProperty.propertyType,analyticsProperty.retirement,analyticsProperty.selectedCurrency,analyticsProperty.selectedPrice,analyticsProperty.soldSTC,analyticsProperty.videoProvider,analyticsProperty.viewType,analyticsProperty.customUri,Unnamed: 46
14520525,v0021_300622,2022-07-06 15:05:28,ea_dual,17067,London,,Arlington Estates,Arlington Estates,Arlington Estates,iea,"4b Leroy House,
436 Essex Road,
London,
N1 3QP",Microsite,20100130,False,3,False,GB,GBP,0,Not Specified,False,12,51.52995,-0.20702,False,Long term,,,,,Non-shared ownership,W10 4JH,Resale,550000,None,14520525,Maisonette,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
27953107,v0021_300622,2022-08-14 11:29:23,ea_dual,19332,Hayes,,Lawlors Estate Agents,Lawlors Estate Agents,Lawlors Estate Agents,iea,"Barclay House, 394 Uxbridge Road, Hayes, Middlesex, UB4 0SE",Standard,20100928,False,2,False,GB,GBP,0,Not Specified,False,11,51.54939,-0.4826,False,Long term,,,,,Non-shared ownership,UB8 1JL,Resale,400000,Offers in Excess of,27953107,Apartment,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
33593487,v0021_300622,2022-07-16 10:04:11,ea_dual,96821,Twickenham,,Websters Estate Agents,Websters Estate Agents,Websters Estate Agents,iea,"164 Heath Road,
Twickenham,
TW1 4BN",Microsite,20150210,False,2,False,GB,GBP,1,Not Specified,False,9,51.44718,-0.33877,False,Long term,,,,,Non-shared ownership,TW2 6SH,Resale,579950,Offers in Excess of,33593487,Terraced,Houses,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
35271294,v0021_300622,2022-07-14 14:17:22,ea_sales,85856,Westcliff-on-Sea,,Griffin Property Co.,Griffin Franchise Ltd,,iea,"122 Hamlet Court Road,
Westcliff-On-Sea,
SS0 7LP 
",Standard,20150701,False,2,False,GB,GBP,1,Not Specified,False,10,51.449568,-0.140154,False,Long term,,,,,Non-shared ownership,SW4 8PQ,Resale,370000,Offers in Region of,35271294,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
35429088,v0021_300622,2022-08-18 15:01:59,ea_sales,55483,Highgate,,Kinleigh Folkard & Hayward - Sales,Kinleigh Folkard & Hayward,Kinleigh Folkard & Hayward,corporate,"58 Highgate High Street,
London,
N6 5HX",Microsite,20150714,False,2,False,GB,GBP,0,Not Specified,False,0,51.57703,-0.14123,False,Long term,,,,,Non-shared ownership,N6 5AQ,Resale,599950,None,35429088,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
44749111,v0021_300622,2022-07-05 10:27:40,ea_dual,23486,Worcester Park,,Connor Prince,Connor Prince,,iea,"66 Central Road,
Worcester Park,
KT4 8HX",Standard,20140611,False,2,False,GB,GBP,0,Not Specified,False,9,51.37005,-0.21241,False,Long term,,,,,Non-shared ownership,SM3 9TA,Resale,475000,None,44749111,Detached Bungalow,Bungalows,False,,,True,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
45126814,v0021_300622,2022-07-14 17:00:41,ea_dual,35945,Forest Gate,,Marvel & Co,Marvel & Co,Marvel & Co,iea,"367 Katherine Road,
Forest Gate,
London,
E7 8LT",Standard,20140630,False,2,False,GB,GBP,0,Not Specified,False,7,51.54178,0.03789,False,Long term,,,,,Non-shared ownership,E7 8NW,Resale,275000,None,45126814,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
46204665,v0021_300622,2022-08-18 19:55:43,ea_dual,2979,London,,Warwick Estate Agents,Warwick Estate Agents,,iea,"69 Chamberlayne Road
London
NW10 3ND",Standard,20170105,False,3,False,GB,GBP,2,Not Specified,False,9,51.53907,-0.198935,False,Long term,0.012396694214876,540.0,0.012396694214876,540.0,Non-shared ownership,NW6 7ET,Resale,435000,Guide Price,46204665,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
49020666,v0021_220622,2022-06-23 15:38:04,ea_sales,50889,Northolt,,Brian Cox,Brian Cox,,iea,"171 - 175 Church Road,
Northolt,
UB5 5AG",Microsite,20170623,False,1,False,GB,GBP,1,Not Specified,False,6,51.539959,-0.380863,False,Long term,,,,,Non-shared ownership,UB5 5UF,Resale,200000,None,49020666,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
49036279,v0021_300622,2022-07-14 15:56:46,ea_dual,35945,Forest Gate,,Marvel & Co,Marvel & Co,Marvel & Co,iea,"367 Katherine Road,
Forest Gate,
London,
E7 8LT",Standard,20150325,False,2,False,GB,GBP,2,Not Specified,False,7,51.54178,0.03789,False,Long term,,,,,Non-shared ownership,E7 8NW,Resale,275000,Guide Price,49036279,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
