iter	RMSE
0	82915.2399
1	78473.05827
2	72937.29759
3	71886.74899
4	71044.01648
5	69863.79809
6	69084.46585
7	68622.56185
8	68039.83177
9	67556.29941
10	67217.6504
11	66933.13384
12	66633.74506
13	66462.12723
14	66276.33694
15	66042.83132
16	65795.95244
17	65591.28283
18	65129.39713
19	64809.46285
20	64614.07845
21	64463.77907
22	64250.65386
23	64132.46595
24	64036.62977
25	63934.37839
26	63790.147
27	63655.17388
28	63518.82035
29	63516.45342
30	63345.01788
31	63189.9456
32	62993.99083
33	62808.45644
34	62665.64815
35	62515.22963
36	62382.18504
37	62308.72341
38	62304.75597
39	62201.76879
40	62113.50817
41	61963.37853
42	61859.66783
43	61733.22515
44	61572.48221
45	61457.76995
46	61378.85357
47	61294.10311
48	61239.82496
49	61142.71422
50	61118.31628
51	61013.67308
52	60950.09474
53	60806.73584
54	60777.15853
55	60668.12602
56	60523.43771
57	60400.47205
58	60314.34033
59	60235.83497
60	60147.42693
61	60068.82686
62	60014.13771
63	59938.536
64	59845.49062
65	59791.62796
66	59715.46748
67	59714.70925
68	59626.99707
69	59545.0268
70	59503.87386
71	59405.50856
72	59350.57177
73	59277.99952
74	59164.18036
75	59102.60645
76	59043.29616
77	59002.8502
78	58962.40919
79	58909.84601
80	58856.67639
81	58808.39039
82	58751.34989
83	58694.68183
84	58639.79376
85	58571.04562
86	58497.82835
87	58418.68296
88	58354.22386
89	58315.62309
90	58264.3796
91	58212.17849
92	58138.8304
93	58099.88443
94	58092.08814
95	58026.74315
96	57995.6564
97	57962.04255
98	57939.24014
99	57865.02458
