iter	Passed	Remaining
0	1642	162655
1	3291	161290
2	5540	179146
3	8036	192874
4	9968	189403
5	12236	191700
6	14209	188788
7	16227	186612
8	17905	181040
9	19827	178446
10	21584	174636
11	23576	172894
12	23585	157839
13	25495	156616
14	27287	154628
15	29203	153319
16	31146	152067
17	33178	151145
18	35145	149829
19	37006	148027
20	39166	147342
21	41291	146396
22	43142	144433
23	45402	143774
24	47329	141987
25	49394	140585
26	51605	139527
27	53766	138257
28	55728	136437
29	57844	134971
30	59940	133415
31	61935	131612
32	63801	129535
33	65637	127413
34	67677	125687
35	69636	123798
36	71594	121903
37	73777	120374
38	75859	118652
39	78004	117007
40	79839	114890
41	81822	112992
42	83722	110980
43	85899	109326
44	87907	107442
45	90291	105994
46	92330	104116
47	94502	102378
48	96696	100642
49	98700	98700
50	100762	96810
51	103019	95095
52	105119	93219
53	107121	91251
54	109114	89275
55	110726	86999
56	112385	84782
57	114742	83089
58	116967	81282
59	118787	79191
60	120576	77089
61	122608	75146
62	124302	73002
63	126407	71104
64	128434	69156
65	130625	67291
66	132531	65276
67	134232	63168
68	136159	61173
69	138191	59225
70	140116	57230
71	142346	55356
72	144497	53444
73	146358	51423
74	148563	49521
75	150340	47475
76	152154	45448
77	154120	43469
78	156083	41490
79	157898	39474
80	159625	37443
81	161603	35473
82	163523	33492
83	165387	31502
84	167452	29550
85	169498	27592
86	171674	25652
87	173727	23690
88	175770	21724
89	177713	19745
90	179595	17762
91	181292	15764
92	183276	13795
93	185673	11851
94	187607	9874
95	189680	7903
96	191673	5928
97	193566	3950
98	195956	1979
99	198190	0
